"","County","Year","All Months"
"1409","ORANGE",1999,127
"1410","ORANGE",2000,116
"1411","ORANGE",2001,155
"1412","ORANGE",2002,188
"1413","ORANGE",2003,292
"1414","ORANGE",2004,233
"1415","ORANGE",2005,251
"1416","ORANGE",2006,278
"1417","ORANGE",2007,255
"1418","ORANGE",2008,298
"1419","ORANGE",2009,333
"1420","ORANGE",2010,361
"1421","ORANGE",2011,316
"1422","ORANGE",2012,282
"1423","ORANGE",2013,252
"1424","ORANGE",2014,157
"1425","ORANGE",2015,160
"1426","ORANGE",2016,124
"1427","ORANGE",2017,119
"1428","ORANGE",2018,62
"1429","PAMLICO",1998,17
"1430","PAMLICO",1999,27
"1431","PAMLICO",2000,33
"1432","PAMLICO",2001,31
"1433","PAMLICO",2002,43
"1434","PAMLICO",2003,45
"1435","PAMLICO",2004,40
"1436","PAMLICO",2005,29
"1437","PAMLICO",2006,37
"1438","PAMLICO",2007,30
"1439","PAMLICO",2008,59
"1440","PAMLICO",2009,56
"1441","PAMLICO",2010,74
"1442","PAMLICO",2011,70
"1443","PAMLICO",2012,55
"1444","PAMLICO",2013,45
"1445","PAMLICO",2014,45
"1446","PAMLICO",2015,36
"1447","PAMLICO",2016,40
"1448","PAMLICO",2017,25
"1449","PAMLICO",2018,27
"1450","PASQUOTANK",1998,73
"1451","PASQUOTANK",1999,87
"1452","PASQUOTANK",2000,96
"1453","PASQUOTANK",2001,96
"1454","PASQUOTANK",2002,92
"1455","PASQUOTANK",2003,128
"1456","PASQUOTANK",2004,109
"1457","PASQUOTANK",2005,119
"1458","PASQUOTANK",2006,114
"1459","PASQUOTANK",2007,162
"1460","PASQUOTANK",2008,246
"1461","PASQUOTANK",2009,297
"1462","PASQUOTANK",2010,296
"1463","PASQUOTANK",2011,271
"1464","PASQUOTANK",2012,271
"1465","PASQUOTANK",2013,271
"1466","PASQUOTANK",2014,161
"1467","PASQUOTANK",2015,158
"1468","PASQUOTANK",2016,157
"1469","PASQUOTANK",2017,143
"1470","PASQUOTANK",2018,90
"1471","PENDER",1998,82
"1472","PENDER",1999,106
"1473","PENDER",2000,171
"1474","PENDER",2001,232
"1475","PENDER",2002,272
"1476","PENDER",2003,305
"1477","PENDER",2004,287
"1478","PENDER",2005,226
"1479","PENDER",2006,206
"1480","PENDER",2007,239
"1481","PENDER",2008,327
"1482","PENDER",2009,473
"1483","PENDER",2010,521
"1484","PENDER",2011,419
"1485","PENDER",2012,426
"1486","PENDER",2013,369
"1487","PENDER",2014,235
"1488","PENDER",2015,184
"1489","PENDER",2016,149
"1490","PENDER",2017,173
"1491","PENDER",2018,104
"1492","PERQUIMANS",1998,18
"1493","PERQUIMANS",1999,28
"1494","PERQUIMANS",2000,31
"1495","PERQUIMANS",2001,20
"1496","PERQUIMANS",2002,39
"1497","PERQUIMANS",2003,38
"1498","PERQUIMANS",2004,36
"1499","PERQUIMANS",2005,26
"1500","PERQUIMANS",2006,30
"1501","PERQUIMANS",2007,35
"1502","PERQUIMANS",2008,42
"1503","PERQUIMANS",2009,74
"1504","PERQUIMANS",2010,74
"1505","PERQUIMANS",2011,72
"1506","PERQUIMANS",2012,77
"1507","PERQUIMANS",2013,85
"1508","PERQUIMANS",2014,72
"1509","PERQUIMANS",2015,66
"1510","PERQUIMANS",2016,52
"1511","PERQUIMANS",2017,53
"1512","PERQUIMANS",2018,26
"1513","PERSON",1998,56
"1514","PERSON",1999,73
"1515","PERSON",2000,91
"1516","PERSON",2001,116
"1517","PERSON",2002,149
"1518","PERSON",2003,176
"1519","PERSON",2004,226
"1520","PERSON",2005,222
"1521","PERSON",2006,199
"1522","PERSON",2007,239
"1523","PERSON",2008,219
"1524","PERSON",2009,224
"1525","PERSON",2010,256
"1526","PERSON",2011,185
"1527","PERSON",2012,226
"1528","PERSON",2013,192
"1529","PERSON",2014,129
"1530","PERSON",2015,125
"1531","PERSON",2016,81
"1532","PERSON",2017,100
"1533","PERSON",2018,62
"1534","PITT",1998,262
"1535","PITT",1999,273
"1536","PITT",2000,302
"1537","PITT",2001,343
"1538","PITT",2002,496
"1539","PITT",2003,571
"1540","PITT",2004,546
"1541","PITT",2005,544
"1542","PITT",2006,642
"1543","PITT",2007,672
"1544","PITT",2008,717
"1545","PITT",2009,722
"1546","PITT",2010,754
"1547","PITT",2011,652
"1548","PITT",2012,700
"1549","PITT",2013,610
"1550","PITT",2014,487
"1551","PITT",2015,468
"1552","PITT",2016,366
"1553","PITT",2017,334
"1554","PITT",2018,257
"1555","POLK",1998,13
"1556","POLK",1999,28
"1557","POLK",2000,35
"1558","POLK",2001,33
"1559","POLK",2002,42
"1560","POLK",2003,54
"1561","POLK",2004,57
"1562","POLK",2005,54
"1563","POLK",2006,58
"1564","POLK",2007,59
"1565","POLK",2008,76
"1566","POLK",2009,98
"1567","POLK",2010,117
"1568","POLK",2011,105
"1569","POLK",2012,94
"1570","POLK",2013,80
"1571","POLK",2014,58
"1572","POLK",2015,37
"1573","POLK",2016,32
"1574","POLK",2017,26
"1575","POLK",2018,21
"1576","RANDOLPH",1998,165
"1577","RANDOLPH",1999,191
"1578","RANDOLPH",2000,237
"1579","RANDOLPH",2001,304
"1580","RANDOLPH",2002,459
"1581","RANDOLPH",2003,520
"1582","RANDOLPH",2004,559
"1583","RANDOLPH",2005,597
"1584","RANDOLPH",2006,647
"1585","RANDOLPH",2007,664
"1586","RANDOLPH",2008,664
"1587","RANDOLPH",2009,717
"1588","RANDOLPH",2010,811
"1589","RANDOLPH",2011,653
"1590","RANDOLPH",2012,690
"1591","RANDOLPH",2013,671
"1592","RANDOLPH",2014,453
"1593","RANDOLPH",2015,363
"1594","RANDOLPH",2016,326
"1595","RANDOLPH",2017,286
"1596","RANDOLPH",2018,192
"1597","RICHMOND",1998,131
"1598","RICHMOND",1999,131
"1599","RICHMOND",2000,127
"1600","RICHMOND",2001,127
"1601","RICHMOND",2002,164
"1602","RICHMOND",2003,178
"1603","RICHMOND",2004,141
"1604","RICHMOND",2005,161
"1605","RICHMOND",2006,197
"1606","RICHMOND",2007,159
"1607","RICHMOND",2008,128
"1608","RICHMOND",2009,126
"1609","RICHMOND",2010,151
"1610","RICHMOND",2011,127
"1611","RICHMOND",2012,137
"1612","RICHMOND",2013,133
"1613","RICHMOND",2014,97
"1614","RICHMOND",2015,94
"1615","RICHMOND",2016,96
"1616","RICHMOND",2017,83
"1617","RICHMOND",2018,57
"1618","ROBESON",1998,182
"1619","ROBESON",1999,255
"1620","ROBESON",2000,293
"1621","ROBESON",2001,402
"1622","ROBESON",2002,462
"1623","ROBESON",2003,557
"1624","ROBESON",2004,531
"1625","ROBESON",2005,460
"1626","ROBESON",2006,530
"1627","ROBESON",2007,439
"1628","ROBESON",2008,436
"1629","ROBESON",2009,349
"1630","ROBESON",2010,383
"1631","ROBESON",2011,320
"1632","ROBESON",2012,358
"1633","ROBESON",2013,276
"1634","ROBESON",2014,251
"1635","ROBESON",2015,256
"1636","ROBESON",2016,213
"1637","ROBESON",2017,189
"1638","ROBESON",2018,134
"1639","ROCKINGHAM",1998,174
"1640","ROCKINGHAM",1999,195
"1641","ROCKINGHAM",2000,224
"1642","ROCKINGHAM",2001,304
"1643","ROCKINGHAM",2002,406
"1644","ROCKINGHAM",2003,423
"1645","ROCKINGHAM",2004,474
"1646","ROCKINGHAM",2005,507
"1647","ROCKINGHAM",2006,528
"1648","ROCKINGHAM",2007,569
"1649","ROCKINGHAM",2008,603
"1650","ROCKINGHAM",2009,521
"1651","ROCKINGHAM",2010,594
"1652","ROCKINGHAM",2011,447
"1653","ROCKINGHAM",2012,492
"1654","ROCKINGHAM",2013,428
"1655","ROCKINGHAM",2014,333
"1656","ROCKINGHAM",2015,277
"1657","ROCKINGHAM",2016,285
"1658","ROCKINGHAM",2017,246
"1659","ROCKINGHAM",2018,160
"1660","ROWAN",1998,164
"1661","ROWAN",1999,247
"1662","ROWAN",2000,304
"1663","ROWAN",2001,434
"1664","ROWAN",2002,597
"1665","ROWAN",2003,820
"1666","ROWAN",2004,745
"1667","ROWAN",2005,763
"1668","ROWAN",2006,720
"1669","ROWAN",2007,788
"1670","ROWAN",2008,790
"1671","ROWAN",2009,814
"1672","ROWAN",2010,915
"1673","ROWAN",2011,735
"1674","ROWAN",2012,751
"1675","ROWAN",2013,661
"1676","ROWAN",2014,464
"1677","ROWAN",2015,391
"1678","ROWAN",2016,397
"1679","ROWAN",2017,361
"1680","ROWAN",2018,250
"1681","RUTHERFORD",1998,98
"1682","RUTHERFORD",1999,151
"1683","RUTHERFORD",2000,165
"1684","RUTHERFORD",2001,203
"1685","RUTHERFORD",2002,286
"1686","RUTHERFORD",2003,291
"1687","RUTHERFORD",2004,350
"1688","RUTHERFORD",2005,315
"1689","RUTHERFORD",2006,273
"1690","RUTHERFORD",2007,353
"1691","RUTHERFORD",2008,353
"1692","RUTHERFORD",2009,496
"1693","RUTHERFORD",2010,502
"1694","RUTHERFORD",2011,403
"1695","RUTHERFORD",2012,387
"1696","RUTHERFORD",2013,503
"1697","RUTHERFORD",2014,218
"1698","RUTHERFORD",2015,313
"1699","RUTHERFORD",2016,258
"1700","RUTHERFORD",2017,187
"1701","RUTHERFORD",2018,139
"1702","SAMPSON",1998,79
"1703","SAMPSON",1999,118
"1704","SAMPSON",2000,147
"1705","SAMPSON",2001,163
"1706","SAMPSON",2002,255
"1707","SAMPSON",2003,275
"1708","SAMPSON",2004,263
"1709","SAMPSON",2005,268
"1710","SAMPSON",2006,281
"1711","SAMPSON",2007,271
"1712","SAMPSON",2008,248
"1713","SAMPSON",2009,207
"1714","SAMPSON",2010,233
"1715","SAMPSON",2011,188
"1716","SAMPSON",2012,191
"1717","SAMPSON",2013,181
"1718","SAMPSON",2014,139
"1719","SAMPSON",2015,150
"1720","SAMPSON",2016,127
"1721","SAMPSON",2017,150
"1722","SAMPSON",2018,66
"1723","SCOTLAND",1998,62
"1724","SCOTLAND",1999,104
"1725","SCOTLAND",2000,130
"1726","SCOTLAND",2001,112
"1727","SCOTLAND",2002,133
"1728","SCOTLAND",2003,175
"1729","SCOTLAND",2004,177
"1730","SCOTLAND",2005,156
"1731","SCOTLAND",2006,188
"1732","SCOTLAND",2007,158
"1733","SCOTLAND",2008,145
"1734","SCOTLAND",2009,109
"1735","SCOTLAND",2010,147
"1736","SCOTLAND",2011,109
"1737","SCOTLAND",2012,119
"1738","SCOTLAND",2013,109
"1739","SCOTLAND",2014,81
"1740","SCOTLAND",2015,80
"1741","SCOTLAND",2016,73
"1742","SCOTLAND",2017,74
"1743","SCOTLAND",2018,48
"1744","STANLY",1998,83
"1745","STANLY",1999,119
"1746","STANLY",2000,156
"1747","STANLY",2001,188
"1748","STANLY",2002,206
"1749","STANLY",2003,282
"1750","STANLY",2004,229
"1751","STANLY",2005,200
"1752","STANLY",2006,248
"1753","STANLY",2007,224
"1754","STANLY",2008,241
"1755","STANLY",2009,241
"1756","STANLY",2010,285
"1757","STANLY",2011,250
"1758","STANLY",2012,245
"1759","STANLY",2013,199
"1760","STANLY",2014,142
"1761","STANLY",2015,129
"1762","STANLY",2016,118
"1763","STANLY",2017,89
"1764","STANLY",2018,88
"1765","STOKES",1998,52
"1766","STOKES",1999,67
"1767","STOKES",2000,94
"1768","STOKES",2001,114
"1769","STOKES",2002,156
"1770","STOKES",2003,206
"1771","STOKES",2004,203
"1772","STOKES",2005,221
"1773","STOKES",2006,216
"1774","STOKES",2007,226
"1775","STOKES",2008,209
"1776","STOKES",2009,210
"1777","STOKES",2010,243
"1778","STOKES",2011,191
"1779","STOKES",2012,198
"1780","STOKES",2013,162
"1781","STOKES",2014,145
"1782","STOKES",2015,137
"1783","STOKES",2016,116
"1784","STOKES",2017,94
"1785","STOKES",2018,63
"1786","SURRY",1998,79
"1787","SURRY",1999,74
"1788","SURRY",2000,107
"1789","SURRY",2001,142
"1790","SURRY",2002,206
"1791","SURRY",2003,278
"1792","SURRY",2004,259
"1793","SURRY",2005,242
"1794","SURRY",2006,252
"1795","SURRY",2007,268
"1796","SURRY",2008,258
"1797","SURRY",2009,254
"1798","SURRY",2010,316
"1799","SURRY",2011,285
"1800","SURRY",2012,223
"1801","SURRY",2013,206
"1802","SURRY",2014,155
"1803","SURRY",2015,151
"1804","SURRY",2016,140
"1805","SURRY",2017,122
"1806","SURRY",2018,82
"1807","SWAIN",1998,7
"1808","SWAIN",1999,6
"1809","SWAIN",2000,8
"1810","SWAIN",2001,10
"1811","SWAIN",2002,11
"1812","SWAIN",2003,11
"1813","SWAIN",2004,26
"1814","SWAIN",2005,27
"1815","SWAIN",2006,33
"1816","SWAIN",2007,31
"1817","SWAIN",2008,39
"1818","SWAIN",2009,59
"1819","SWAIN",2010,74
"1820","SWAIN",2011,66
"1821","SWAIN",2012,54
"1822","SWAIN",2013,52
"1823","SWAIN",2014,31
"1824","SWAIN",2015,19
"1825","SWAIN",2016,22
"1826","SWAIN",2017,27
"1827","SWAIN",2018,14
"1828","TRANSYLVANIA",1998,26
"1829","TRANSYLVANIA",1999,34
"1830","TRANSYLVANIA",2000,45
"1831","TRANSYLVANIA",2001,54
"1832","TRANSYLVANIA",2002,88
"1833","TRANSYLVANIA",2003,84
"1834","TRANSYLVANIA",2004,59
"1835","TRANSYLVANIA",2005,67
"1836","TRANSYLVANIA",2006,71
"1837","TRANSYLVANIA",2007,87
"1838","TRANSYLVANIA",2008,117
"1839","TRANSYLVANIA",2009,139
"1840","TRANSYLVANIA",2010,203
"1841","TRANSYLVANIA",2011,167
"1842","TRANSYLVANIA",2012,136
"1843","TRANSYLVANIA",2013,114
"1844","TRANSYLVANIA",2014,66
"1845","TRANSYLVANIA",2015,74
"1846","TRANSYLVANIA",2016,46
"1847","TRANSYLVANIA",2017,47
"1848","TRANSYLVANIA",2018,26
"1849","TYRRELL",1998,6
"1850","TYRRELL",1999,6
"1851","TYRRELL",2000,5
"1852","TYRRELL",2001,6
"1853","TYRRELL",2002,4
"1854","TYRRELL",2003,5
"1855","TYRRELL",2004,10
"1856","TYRRELL",2005,6
"1857","TYRRELL",2006,8
"1858","TYRRELL",2007,12
"1859","TYRRELL",2008,18
"1860","TYRRELL",2009,15
"1861","TYRRELL",2010,21
"1862","TYRRELL",2011,16
"1863","TYRRELL",2012,13
"1864","TYRRELL",2013,19
"1865","TYRRELL",2014,11
"1866","TYRRELL",2015,5
"1867","TYRRELL",2016,7
"1868","TYRRELL",2017,2
"1869","TYRRELL",2018,2
"1870","UNION",1998,228
"1871","UNION",1999,237
"1872","UNION",2000,330
"1873","UNION",2001,454
"1874","UNION",2002,713
"1875","UNION",2003,960
"1876","UNION",2004,923
"1877","UNION",2005,941
"1878","UNION",2006,1033
"1879","UNION",2007,1085
"1880","UNION",2008,1247
"1881","UNION",2009,1789
"1882","UNION",2010,2046
"1883","UNION",2011,1573
"1884","UNION",2012,1509
"1885","UNION",2013,1083
"1886","UNION",2014,690
"1887","UNION",2015,620
"1888","UNION",2016,533
"1889","UNION",2017,441
"1890","UNION",2018,346
"1891","VANCE",1998,58
"1892","VANCE",1999,89
"1893","VANCE",2000,162
"1894","VANCE",2001,200
"1895","VANCE",2002,299
"1896","VANCE",2003,393
"1897","VANCE",2004,331
"1898","VANCE",2005,279
"1899","VANCE",2006,273
"1900","VANCE",2007,272
"1901","VANCE",2008,233
"1902","VANCE",2009,207
"1903","VANCE",2010,224
"1904","VANCE",2011,153
"1905","VANCE",2012,210
"1906","VANCE",2013,198
"1907","VANCE",2014,148
"1908","VANCE",2015,125
"1909","VANCE",2016,103
"1910","VANCE",2017,91
"1911","VANCE",2018,67
"1912","WAKE",1998,966
"1913","WAKE",1999,1148
"1914","WAKE",2000,1362
"1915","WAKE",2001,1878
"1916","WAKE",2002,2615
"1917","WAKE",2003,3414
"1918","WAKE",2004,3357
"1919","WAKE",2005,3512
"1920","WAKE",2006,3855
"1921","WAKE",2007,4282
"1922","WAKE",2008,4766
"1923","WAKE",2009,5121
"1924","WAKE",2010,5595
"1925","WAKE",2011,4537
"1926","WAKE",2012,4599
"1927","WAKE",2013,3603
"1928","WAKE",2014,2528
"1929","WAKE",2015,2251
"1930","WAKE",2016,1954
"1931","WAKE",2017,1782
"1932","WAKE",2018,1262
"1933","WARREN",1998,24
"1934","WARREN",1999,44
"1935","WARREN",2000,39
"1936","WARREN",2001,51
"1937","WARREN",2002,67
"1938","WARREN",2003,86
"1939","WARREN",2004,87
"1940","WARREN",2005,87
"1941","WARREN",2006,101
"1942","WARREN",2007,80
"1943","WARREN",2008,77
"1944","WARREN",2009,70
"1945","WARREN",2010,106
"1946","WARREN",2011,77
"1947","WARREN",2012,69
"1948","WARREN",2013,52
"1949","WARREN",2014,36
"1950","WARREN",2015,48
"1951","WARREN",2016,52
"1952","WARREN",2017,44
"1953","WARREN",2018,22
"1954","WASHINGTON",1998,22
"1955","WASHINGTON",1999,30
"1956","WASHINGTON",2000,30
"1957","WASHINGTON",2001,25
"1958","WASHINGTON",2002,37
"1959","WASHINGTON",2003,59
"1960","WASHINGTON",2004,33
"1961","WASHINGTON",2005,51
"1962","WASHINGTON",2006,45
"1963","WASHINGTON",2007,45
"1964","WASHINGTON",2008,50
"1965","WASHINGTON",2009,44
"1966","WASHINGTON",2010,41
"1967","WASHINGTON",2011,37
"1968","WASHINGTON",2012,41
"1969","WASHINGTON",2013,37
"1970","WASHINGTON",2014,37
"1971","WASHINGTON",2015,32
"1972","WASHINGTON",2016,24
"1973","WASHINGTON",2017,23
"1974","WASHINGTON",2018,11
"1975","WATAUGA",1998,49
"1976","WATAUGA",1999,37
"1977","WATAUGA",2000,42
"1978","WATAUGA",2001,85
"1979","WATAUGA",2002,87
"1980","WATAUGA",2003,106
"1981","WATAUGA",2004,94
"1982","WATAUGA",2005,95
"1983","WATAUGA",2006,107
"1984","WATAUGA",2007,131
"1985","WATAUGA",2008,231
"1986","WATAUGA",2009,264
"1987","WATAUGA",2010,355
"1988","WATAUGA",2011,248
"1989","WATAUGA",2012,260
"1990","WATAUGA",2013,185
"1991","WATAUGA",2014,142
"1992","WATAUGA",2015,113
"1993","WATAUGA",2016,89
"1994","WATAUGA",2017,62
"1995","WATAUGA",2018,78
"1996","WAYNE",1998,238
"1997","WAYNE",1999,285
"1998","WAYNE",2000,286
"1999","WAYNE",2001,345
"2000","WAYNE",2002,436
"2001","WAYNE",2003,528
"2002","WAYNE",2004,498
"2003","WAYNE",2005,520
"2004","WAYNE",2006,529
"2005","WAYNE",2007,491
"2006","WAYNE",2008,536
"2007","WAYNE",2009,471
"2008","WAYNE",2010,499
"2009","WAYNE",2011,406
"2010","WAYNE",2012,432
"2011","WAYNE",2013,387
"2012","WAYNE",2014,286
"2013","WAYNE",2015,297
"2014","WAYNE",2016,251
"2015","WAYNE",2017,282
"2016","WAYNE",2018,174
"2017","WILKES",1998,76
"2018","WILKES",1999,91
"2019","WILKES",2000,90
"2020","WILKES",2001,132
"2021","WILKES",2002,178
"2022","WILKES",2003,203
"2023","WILKES",2004,155
"2024","WILKES",2005,215
"2025","WILKES",2006,222
"2026","WILKES",2007,236
"2027","WILKES",2008,257
"2028","WILKES",2009,286
"2029","WILKES",2010,331
"2030","WILKES",2011,276
"2031","WILKES",2012,255
"2032","WILKES",2013,204
"2033","WILKES",2014,160
"2034","WILKES",2015,137
"2035","WILKES",2016,106
"2036","WILKES",2017,104
"2037","WILKES",2018,70
"2038","WILSON",1998,151
"2039","WILSON",1999,136
"2040","WILSON",2000,167
"2041","WILSON",2001,193
"2042","WILSON",2002,315
"2043","WILSON",2003,321
"2044","WILSON",2004,340
"2045","WILSON",2005,366
"2046","WILSON",2006,383
"2047","WILSON",2007,398
"2048","WILSON",2008,402
"2049","WILSON",2009,387
"2050","WILSON",2010,459
"2051","WILSON",2011,302
"2052","WILSON",2012,380
"2053","WILSON",2013,317
"2054","WILSON",2014,285
"2055","WILSON",2015,221
"2056","WILSON",2016,184
"2057","WILSON",2017,206
"2058","WILSON",2018,153
"2059","YADKIN",1998,35
"2060","YADKIN",1999,43
"2061","YADKIN",2000,64
"2062","YADKIN",2001,71
"2063","YADKIN",2002,99
"2064","YADKIN",2003,137
"2065","YADKIN",2004,131
"2066","YADKIN",2005,118
"2067","YADKIN",2006,125
"2068","YADKIN",2007,117
"2069","YADKIN",2008,142
"2070","YADKIN",2009,106
"2071","YADKIN",2010,168
"2072","YADKIN",2011,106
"2073","YADKIN",2012,131
"2074","YADKIN",2013,116
"2075","YADKIN",2014,86
"2076","YADKIN",2015,62
"2077","YADKIN",2016,92
"2078","YADKIN",2017,56
"2079","YADKIN",2018,41
"2080","YANCEY",1998,21
"2081","YANCEY",1999,36
"2082","YANCEY",2000,22
"2083","YANCEY",2001,21
"2084","YANCEY",2002,42
"2085","YANCEY",2003,35
"2086","YANCEY",2004,47
"2087","YANCEY",2005,35
"2088","YANCEY",2006,41
"2089","YANCEY",2007,48
"2090","YANCEY",2008,62
"2091","YANCEY",2009,87
"2092","YANCEY",2010,92
"2093","YANCEY",2011,63
"2094","YANCEY",2012,52
"2095","YANCEY",2013,54
"2096","YANCEY",2014,52
"2097","YANCEY",2015,55
"2098","YANCEY",2016,51
"2099","YANCEY",2017,40
"2100","YANCEY",2018,20
